,Author,Repo,Lang,Star,Fork
0,deepmind,mujoco,C,"1,736",97
1,arthurspk,guiadevbrasil,,"1,535",217
2,datreeio,datree,Go,"4,284",99
3,psf,black,Python,"22,965","1,472"
4,cloudreve,Cloudreve,Go,"10,905","1,912"
5,Spikeysanju,Einsen,Kotlin,279,10
6,paritytech,substrate,Rust,"5,790","1,756"
7,ianstormtaylor,slate,TypeScript,"22,497","2,485"
8,google,jax,Python,"14,535","1,363"
9,Yin-Hongwei,music-website,Vue,"1,201",428
10,python,mypy,Python,"11,527","1,928"
11,toniblyx,prowler,Shell,"4,023",762
12,mperham,sidekiq,Ruby,"11,292","2,013"
13,sudheerj,javascript-interview-questions,JavaScript,"5,773","1,810"
14,airbnb,lottie-ios,Swift,"22,065","3,232"
15,jwasham,coding-interview-university,,"195,030","52,492"
16,Snailclimb,JavaGuide,Java,"112,379","38,430"
17,CoinAlpha,hummingbot,Python,"2,484","1,017"
18,puppeteer,puppeteer,TypeScript,"73,948","7,811"
19,TechXueXi,TechXueXi,Python,630,209
20,GitSquared,edex-ui,JavaScript,"34,012","1,829"
21,deepfakes,faceswap,Python,"38,763","11,238"
22,craftzdog,dotfiles-public,Vim script,583,127
23,Footsiefat,zspotify,Python,253,31
24,vuetifyjs,vuetify,TypeScript,"32,413","5,914"
